Handle,craft,fabric,color,Product Types
gulabi-lehenga-set,Aari Work,Silk Organza,Pink,Lehenga Set
chandan-kurta-set,Aari Work,Silk Organza,Yellow,Kurta Set
naina-kurta-set,Aari Work,Silk Organza,"Black, White",Kurta Set
genda-lehenga-set,"Applique, Sequin Embroidery, Scalloping","Raw Silk, Organza",Yellow,Lehenga Set
suman-kurta-set,"Applique, Sequin Embroidery","Raw Silk, Silk",Grey,Kurta Set
chand-kurta-set,Zari Work,"Raw Silk, Silk","Blue, Grey",Kurta Set
kajal-kurta-set,Zari Work,"Raw Silk, Silk","Black, Green",Kurta Set
jhilmil-suit,"Zardozi Embroidery, Aari Work","Raw Silk, Silk",Red,Kurta Set
surkh-kurta-set,Zari Embroidery,"Raw Silk, Silk","Red, Grey",Kurta Set
kesar-suit,"Applique, Zari Embroidery","Raw Silk, Silk",Yellow,Kurta Set
rangbirangi-kurta-set,"Applique, Zari Embroidery","Raw Silk, Silk","Green, Yellow",Kurta Set
surmayi-kurta-set,"Applique, Zari Embroidery","Raw Silk, Silk","Grey, Red, Yellow",Kurta Set
chandra-majenta-kurta-set,"Applique Work, Thread Embroidery","Silk, Organza","Pink, Beige",Kurta Set
basanti-majenta-kurta-set,"Applique Work, Thread Embroidery, Zari Work, Gota Patti","Silk, Organza","Pink, Green",Kurta Set
bahara-majenta-kurta-set,"Zari Work, Applique Work, Thread Embroidery","Silk, Organza",Uncategorized,Kurta Set
ahila-majenta-kurta-set,"Applique Work, Zari Work","Silk, Georgette",Uncategorized,Kurta Set
mohini-dark-red-kurta-set,"Zari Work, Thread Embroidery","Silk, Organza, Crepe",Red,Kurta Set
fulki-dark-red-kurta-set,"Applique Work, Thread Embroidery","Silk, Georgette",Red,Kurta Set
fulki-dark-green-kurta-set,"Applique Work, Thread Embroidery","Silk, Georgette",Green,Kurta Set
charvi-goldenrod-kurta-set,"Applique Work, Thread Embroidery, Scalloping","Silk, Georgette",Beige,Kurta Set
charvi-deep-pink-kurta-set,"Applique Work, Thread Embroidery, Scalloping","Silk, Georgette","Pink, Blue",Kurta Set
esha-yellow-green-kurta-set,"Applique Work, Thread Embroidery, Scalloping","Silk, Organza","Yellow, Green",Kurta Set
esha-blue-kurta-set,"Applique Work, Thread Embroidery, Scalloping","Silk, Organza",Blue,Kurta Set
chadna-purple-kurta-set,"Applique Work, Thread Embroidery",Silk,Purple,Kurta Set
chadna-deep-pink-kurta-set,"Applique Work, Thread Embroidery",Silk,Pink,Kurta Set
chandra-goldenrod-kurta-set,"Applique Work, Thread Embroidery","Silk, Organza",Beige,Kurta Set
guncha-purple-kurta-set,"Applique Work, Thread Embroidery, Scalloping","Silk, Organza",Purple,Kurta Set
guncha-yellow-green-kurta-set,"Applique Work, Thread Embroidery, Scalloping","Silk, Organza","Yellow, Green",Kurta Set
phool-purple-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Scalloping","Silk, Organza",Purple,Kurta Set
phool-deep-pink-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Scalloping","Silk, Organza","Pink, Green",Kurta Set
anokhi-dark-red-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Gota Patti, Scalloping","Silk, Organza","Red, Purple, Black",Kurta Set
anokhi-black-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Gota Patti, Scalloping","Silk, Organza",Black,Kurta Set
pallavi-deep-pink-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Scalloping","Silk, Organza",Pink,Kurta Set
pallavi-black-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Scalloping","Silk, Organza","Black, Blue",Kurta Set
basanti-goldenrod-kurta-set,"Zari Work, Applique Work","Silk, Organza",Purple,Kurta Set
